order_id,customer_name,customer_email,customer_phone,customer_address,product_title,product_rating,discounted_price,original_price,discount_percentage,is_best_seller,delivery_date,data_collected_at,product_category,quantity,order_date
V7VWZFKWLC,Donna Allison,coopertracy@example.net,+1-999-382-0083x92835,"Unit 5490 Box 2812, DPO AA 27291",Budget Blender - Electronics Edition,1.3,441.8,581.32,24,True,2025-04-02,2025-09-17,Electronics,3,2024-12-16
GPC4DPCOGL,Javier Phelps,michelle93@example.com,2804446809,"510 Preston Creek, Brewerberg, ME 63626",Budget Toy Car - Clothing Edition,2.2,1246.88,1416.91,12,False,2024-01-21,2025-09-17,Clothing,2,2025-06-30
C7FVSNYBBI,Daniel Stevens DVM,perezjames@example.org,001-262-909-3557x4406,"523 Vanessa Passage, Crossberg, SD 25229",Premium Blender - Toys Edition,4.3,38.5,104.06,63,False,2024-10-31,2025-09-17,Toys,3,2025-03-07
REC3VJPDQM,Joseph Gentry,heidiayala@example.com,+1-506-260-6730x096,"600 Christine Ramp Apt. 978, Mayotown, CA 72062",High-End Smartphone - Books Edition,4.7,26.48,56.33,53,False,2024-08-15,2025-09-17,Books,5,2024-06-18
799BZ3E4RC,Cynthia Figueroa,marylewis@example.net,773.798.6937x38483,"8913 Cindy Tunnel Suite 696, Emilyside, IA 62431",High-End Laptop - Books Edition,2.1,441.77,1193.97,63,True,2024-04-29,2025-09-17,Books,1,2024-12-27
UBWLY2OAU7,Terry Brown,christine40@example.com,001-768-634-3767x124,"832 Crawford Stream, East Jason, AS 35938",Premium Smartphone - Books Edition,2.7,308.89,582.81,47,True,2024-01-17,2025-09-17,Books,5,2024-05-13
E8X2J0U775,Robert Cooper,burgessrobert@example.net,001-769-905-3188x9568,"426 Darlene Wells Suite 480, Smithchester, VA 66445",Premium Running Shoes - Beauty Edition,1.7,207.22,383.74,46,True,2024-10-10,2025-09-17,Beauty,2,2023-02-05
B1JVWIYYZL,James Parker,robertwood@example.org,435.822.5695x198,"227 John Terrace, North Rebeccaville, WY 43810",Durable Smartphone - Home & Kitchen Edition,2.1,837.85,930.94,10,True,2024-07-13,2025-09-17,Home & Kitchen,5,2023-03-06
AIQBHU87J4,Stephen Rios,ireed@example.net,373-471-4910x10058,"5623 Michelle Pike, Lewistown, WA 29425",Premium Blender - Beauty Edition,4.4,1016.9,1694.83,40,False,2025-02-02,2025-09-17,Beauty,1,2025-07-24
UI77YXS9B5,Adam Freeman,perezjames@example.com,766-707-4691x92507,"81996 Erica Prairie Apt. 511, Dylanshire, TN 76625",Durable Smartphone - Toys Edition,4.4,848.0,1541.82,45,False,2023-03-18,2025-09-17,Toys,1,2023-08-23
QLAXYUKK62,Brandon Lee,dennis15@example.org,6479279977,"75568 Benitez Shore, Carpenterside, WI 21800",Budget Running Shoes - Electronics Edition,3.4,1125.6,1815.49,38,False,2024-07-15,2025-09-17,Electronics,5,2023-03-19
FHVVQQAUTM,Jason Mahoney,debramitchell@example.org,(835)394-8429x86241,"1919 Donna Rapids, Danielfurt, VA 70061",Premium Toy Car - Books Edition,3.4,36.82,52.6,30,True,2024-03-22,2025-09-17,Books,3,2024-09-19
05EHQVJ8YX,Whitney Robinson,jacobjohnson@example.org,+1-578-303-9011x25779,"4063 Sheena Club, New Micheleborough, MO 07215",Premium Smartphone - Electronics Edition,3.0,1285.75,1669.8,23,True,2024-05-14,2025-09-17,Electronics,3,2023-06-13
N4N1ODMY0J,Natalie Diaz,robersongregory@example.org,(951)242-0797,"46550 Carl Turnpike, Cindyfort, MS 42370",Durable Blender - Books Edition,3.6,146.26,265.93,45,True,2024-03-02,2025-09-17,Books,1,2024-03-07
G0TGYPZYG9,Veronica Juarez,kleinsteven@example.org,561-525-0909x2192,"5810 Marquez Path Apt. 938, Williamfort, NH 91475",Durable Running Shoes - Sports Edition,2.7,695.8,1087.18,36,True,2023-03-02,2025-09-17,Sports,3,2025-06-15
